Period,Seller,Buyer,SDR Price,Trading Price,Trading Energy,Seller Profit,Buyer Profit,Seller Utility,Buyer Utility,Total_Utility
1,8,4,7.62,7.86,0.084,0.358,0.18,3.356,1.527,5.124612
1,5,4,7.62,6.26,0.056,0.149,0.209,1.379,2.882,3.974278
1,2,4,7.62,6.52,0.324,0.946,1.128,1.514,2.594,3.927316
1,10,4,7.62,6.47,0.013,0.037,0.046,1.506,2.592,3.903552
1,9,4,7.62,6.96,0.385,1.294,1.17,1.881,1.99,3.74319
1,9,7,7.0,7.07,0.151,0.524,0.291,1.994,1.297,2.586218
1,6,1,3.6,3.6,0.086,0.0,0.0,0.0,0.0,0.0
1,1,3,8.0,8.0,0.119,0.0,0.0,0.0,0.0,0.0
1,1,7,9.0,9.0,0.521,0.0,0.0,0.0,0.0,0.0
2,8,10,7.22,6.68,0.056,0.172,0.13,1.911,1.807,3.453177
2,5,4,5.91,4.4,0.214,0.171,0.556,0.806,2.19,1.76514
2,2,4,5.91,4.83,0.073,0.09,0.158,0.877,1.799,1.577723
2,2,6,7.87,8.5,0.139,0.681,0.209,1.746,0.898,1.567908
2,9,6,7.87,8.44,0.164,0.794,0.256,2.163,0.71,1.53573
2,8,6,7.87,8.81,0.059,0.307,0.07,2.619,0.573,1.500687
2,1,3,8.0,8.0,0.05,0.0,0.0,0.0,0.0,0.0
2,1,6,10.0,10.0,0.142,0.0,0.0,0.0,0.0,0.0
2,1,7,7.0,7.0,0.327,0.0,0.0,0.0,0.0,0.0
3,2,6,6.73,8.56,0.274,1.359,0.395,4.41,1.213,5.34933
3,3,5,6.24,6.39,0.146,0.407,0.381,2.323,1.947,4.522881
3,3,8,6.24,6.65,0.271,0.827,0.637,2.456,1.619,3.976264
3,9,8,6.24,6.41,0.093,0.261,0.241,2.109,1.748,3.686532
3,9,6,6.73,7.86,0.092,0.392,0.197,3.077,1.027,3.160079
3,10,4,5.26,4.65,0.286,0.3,0.672,1.055,1.605,1.693275
3,9,7,5.26,5.99,0.342,0.817,0.345,1.817,0.877,1.593509
3,9,4,5.26,5.54,0.061,0.118,0.089,1.443,0.919,1.326117
4,10,8,6.3,5.64,0.09,0.184,0.302,1.593,3.071,4.892103
4,2,5,6.3,5.79,0.135,0.296,0.433,1.594,2.446,3.898924
